designator,catalog,name,period,inclination,apogee,perigee,eccentricity,date,launch,tle1,tle2
2019-074AB,44738,STARLINK-1033,95.64,52.99,551,549,0.00015719999999999997,11.11.2019,1-60,1 44738U 19074AB  20094.58334491 -.00011270  00000-0 -75549-3 0  9995,2 44738  52.9934 210.6816 0001615 115.0190 174.7405 15.05579669 22177
2019-074AC,44739,STARLINK-1052,95.64,53.0,551,549,0.00015130000000000002,11.11.2019,1-60,1 44739U 19074AC  20094.58334491 -.00017485  00000-0 -11838-2 0  9990,2 44739  52.9975 210.6519 0001571 114.1513 211.6215 15.05578931  1711
2019-074AD,44740,STARLINK-1035,95.64,53.0,550,549,0.00011200000000000001,11.11.2019,1-60,1 44740U 19074AD  20094.58334491 -.00017093  00000-0 -11565-2 0  9994,2 44740  53.0023 210.6412 0001139 106.3790 129.3898 15.05588920 22186
2019-074AE,44741,STARLINK-1036,95.64,53.0,551,549,0.00012749999999999998,11.11.2019,1-60,1 44741U 19074AE  20094.58334491 -.00020636  00000-0 -14008-2 0  9997,2 44741  52.9989 210.6473 0001281 106.7223  75.0641 15.05591515  1719
2019-074AF,44742,STARLINK-1037,95.63,53.0,551,548,0.0002114,11.11.2019,1-60,1 44742U 19074AF  20094.55744744 -.00003683  00000-0 -23287-3 0  9994,2 44742  52.9994 210.7325 0002180 134.7534 225.3631 15.05712079 22002
2019-074AG,44743,STARLINK-1038,95.64,53.0,551,549,0.00013419999999999998,11.11.2019,1-60,1 44743U 19074AG  20094.58334491 -.00022693  00000-0 -15429-2 0  9992,2 44743  52.9996 230.6471 0001369 112.0700 142.0159 15.05589328 21907
2019-074AH,44744,STARLINK-1039,95.64,53.0,550,549,0.0001113,11.11.2019,1-60,1 44744U 19074AH  20094.58334491 -.00028147  00000-0 -19191-2 0  9993,2 44744  53.0011 230.6473 0001120 101.3321 116.7380 15.05602840 21904
2019-074AJ,44745,STARLINK-1040,90.92,52.99,322,317,0.0003467,11.11.2019,1-60,1 44745U 19074AJ  20094.58025856  .00039532  00000-0  17649-3 0  9991,2 44745  52.9937 169.8410 0003583 331.5590  28.5236 15.83862197 22577
2019-074AK,44746,STARLINK-1041,95.65,53.0,551,549,0.0001529,11.11.2019,1-60,1 44746U 19074AK  20094.58334491 -.00022625  00000-0 -15384-2 0  9990,2 44746  52.9996 230.6456 0001541  96.3957 175.6733 15.05583331  1718
2019-074AL,44747,STARLINK-1042,95.64,53.02,551,549,0.00016319999999999998,11.11.2019,1-60,1 44747U 19074AL  20094.58334491 -.00029870  00000-0 -20389-2 0  9991,2 44747  53.0218 230.5266 0001671  89.6908  38.3336 15.05590347 21903
